v1_x,v1_y,v1_z,v2_x,v2_y,v2_z,v1_idx,v2_idx
-5.6962,-9.8964,-1.1689e-05,-5.8962,-9.6963,-1.1721e-05,584,650
-8.2931,-9.2992,2.95,-8.2975,-9.0997,2.95,5985,6039
-3.4119,-8.3,2.9501,-3.4161,-8.0754,2.9501,6255,6299
-4.2989,-12.491,-2.7695e-05,-4.2996,-12.282,-2.718e-05,278,301
-3.5742,-11.696,2.8818,-3.5744,-11.492,2.8827,5586,5609
-8.2829,-3.0949,-4.2886e-05,-8.2998,-2.9024,-3.7943e-05,1388,1411
-3.3003,-9.986,1.1,-3.3003,-9.9861,1.3154,3590,3777
-11.883,-9.9555,0.69737,-11.883,-9.9555,0.89782,3054,3325
-6.4254,-16.282,0.90207,-6.4557,-16.282,1.2986,3222,3669
-5.8994,-3.5031,-3.2701e-05,-5.703,-3.4992,-3.1365e-05,1348,1349
3.1009,-10.076,-3.4988e-05,3.0971,-9.9305,-3.5073e-05,550,618
-3.5387,-10.048,0.49989,-3.5385,-10.047,0.68487,2798,3026
2.71,-10.033,-3.3878e-05,2.9066,-10.051,-3.5133e-05,548,549
-6.4551,-10.099,2.0999,-6.4399,-9.6984,2.3746,4474,4731
-6.2539,-16.653,2.95,-6.4508,-16.456,2.8879,5209,5211
1.2308,-8.3695,0.29461,1.044,-8.5904,0.59612,2639,2858
-6.4496,-4.5009,0.69079,-6.4492,-4.101,0.69221,3189,3191
-2.3034,-7.303,-8.9878e-06,-2.4953,-7.3062,4.9816e-05,1012,2206
-6.4969,-8.4999,-5.2561e-06,-6.4755,-8.3306,-5.3644e-06,894,913
-2.1057,-9.2998,4.5552e-05,-2.3032,-9.1002,4.6412e-05,1857,1899
-3.577,-4.8858,-6.8671e-06,-3.6885,-4.7087,-6.4188e-06,1239,1254
-6.4482,-8.2615,0.10018,-6.4551,-8.0844,0.50048,2049,2859
-3.7018,-5.3049,2.95,-3.7026,-5.0956,2.95,6688,6707
-5.8982,-15.688,-2.033e-05,-5.2983,-15.305,-1.5114e-05,19,34
-6.4546,-0.522,1.4988,-6.4546,-0.52408,1.7001,4040,4230
-3.9005,-4.7162,-2.1213e-06,-3.6885,-4.7087,-6.4188e-06,1253,1254
1.9039,-7.5004,0.00010537,2.1084,-7.5012,0.00011318,2201,2202
-6.2539,-16.653,2.95,-6.094,-16.692,2.95,5209,5210
0.8932,-9.5013,0.00010555,1.0984,-9.4992,0.00011329,1829,1830
-4.2964,-3.9007,-2.1996e-05,-4.0995,-3.9026,-2.2381e-05,1317,1318
-4.7045,-15.286,-1.4676e-05,-4.5055,-15.282,-1.4271e-05,37,38
-6.4399,-9.6984,2.3746,-6.4551,-9.4976,2.5006,4731,4920
-2.7028,-10.097,-2.3387e-05,-2.9038,-9.6962,-2.181e-05,544,653
-3.3009,-9.9863,1.8937,-3.3016,-9.9865,2.0997,4340,4528
-7.0935,-9.9568,1.0998,-7.0936,-9.9568,1.3003,3589,3776
-5.6988,-4.906,-2.9647e-06,-5.4996,-4.9046,-3.0097e-06,1228,1229
-1.3152,-7.9001,4.5755e-05,-1.1066,-7.6977,4.5511e-05,2131,2159
-0.50574,-7.6742,-8.2219e-06,-0.50441,-7.6995,4.393e-05,973,2162
-4.0997,-10.294,-2.2057e-05,-4.0105,-10.2,-2.1756e-05,523,537
-0.81726,-12.915,1.9024,-0.7015,-12.939,2.1007,4250,4440
-4.2977,-9.5829,2.95,-4.0764,-9.5773,2.95,5936,5937
-5.3182,-4.9065,-2.9566e-06,-5.1002,-4.9021,-2.5992e-06,1230,1231
-10.896,-9.8773,-2.4991e-05,-10.696,-9.725,-2.6049e-05,558,626
1.0979,-7.4756,2.9501,1.2838,-7.4867,2.9501,6448,6449
-2.3024,-7.9,4.8346e-05,-2.1046,-7.9001,4.7833e-05,2126,2127
-3.5775,-13.061,2.9052,-3.6777,-12.895,2.95,5436,5451
3.0926,-10.064,2.3562,3.0902,-9.9861,2.3656,4691,4729
-4.1007,-4.9077,-2.5233e-06,-4.2972,-4.7195,-2.1396e-06,1236,1251
-0.063439,-12.704,0.10433,-0.063435,-12.704,0.30488,1626,2541
-6.0971,-16.095,2.95,-6.1085,-15.908,2.95,5220,5223
-6.4557,-16.282,2.3022,-6.4557,-16.283,2.6977,4604,4998
-6.4557,-16.282,1.2986,-6.4557,-16.282,1.4987,3669,3855
-3.1813,-15.117,2.95,-3.2838,-14.898,2.95,5276,5293
-3.5744,-11.492,2.8827,-3.5742,-11.097,2.8828,5609,5654
1.2879,-9.0989,0.00010873,1.0935,-8.9355,0.00010982,1917,1959
-2.5036,-7.5014,2.9501,-2.1034,-7.5012,2.9501,6430,6432
-1.5024,-7.3021,-8.6003e-06,-1.5111,-7.3002,4.7246e-05,1016,2211
-6.4547,-3.5042,2.7006,-6.4547,-3.3031,2.6991,5186,5187
-3.4218,-8.9367,2.9501,-3.4106,-8.6948,2.9501,6098,6150
-5.6986,-5.3065,-3.5032e-06,-5.6985,-5.1078,-3.2468e-06,1196,1212
-1.4713,-12.073,-2.9747e-05,-1.302,-11.897,-2.9911e-05,329,353
-5.0979,-3.4943,-3.0211e-05,-5.0991,-3.5162,3.8354e-07,1352,2317
-3.5727,-10.498,2.4994,-3.5727,-10.498,2.7,4856,5048
-1.103,-9.2969,-2.6019e-05,-1.0918,-9.3014,4.2887e-05,770,1862
-0.53834,-11.541,0.049032,-0.55222,-11.534,0.35204,1649,2562
2.2874,-9.9907,0.29958,2.2873,-9.9908,0.49932,2632,2853
-8.7233,-9.7001,-2.1283e-05,-8.6824,-9.701,1.4624e-06,636,1764
0.89406,-8.8877,0.85432,1.1067,-8.8929,0.86778,3380,3381
-7.4414,-5.0515,2.95,-7.2942,-5.0997,2.95,6690,6691
-3.303,-9.8935,-2.1089e-05,-3.2619,-9.7378,-2.0818e-05,586,651
-2.5015,-8.5001,4.7891e-05,-2.3028,-8.4999,4.7379e-05,2012,2013
-5.2983,-15.305,-1.5114e-05,-5.0978,-15.299,-1.4905e-05,34,35
-2.2226,-11.221,-2.7493e-05,-2.0895,-11.289,-2.8085e-05,418,419
-8.2294,-8.1855,-2.3842e-07,-8.1142,-8.1912,-5.0664e-07,930,931
-3.2619,-9.7378,-2.0818e-05,-3.3002,-9.986,0.29986,651,2630
-4.5003,-7.4099,2.95,-4.3065,-7.4081,2.95,6420,6421
-3.6207,-10.094,0.78841,-3.622,-10.093,0.86349,3025,3296
-5.0978,-15.299,-1.4905e-05,-4.7045,-15.286,-1.4676e-05,35,37
-1.5053,-7.5017,2.95,-1.109,-7.502,2.95,6435,6437
3.4282,-10.206,1.6961,3.4282,-10.206,1.8986,4095,4285
-6.4494,-5.9002,0.69235,-6.4231,-6.3018,0.90306,3171,3441
-3.3002,-9.986,0.29986,-3.3002,-9.9859,0.49959,2630,2851
-7.9012,-8.7008,-1.085e-06,-7.705,-8.7002,-1.6538e-06,862,863
-3.4838,-13.905,-1.8244e-05,-3.3923,-13.951,-8.5036e-06,161,162
-8.103,-8.703,-5.1512e-07,-7.9012,-8.7008,-1.085e-06,861,862
-4.0764,-9.5773,2.95,-3.6927,-9.3074,2.95,5937,5993
-2.5032,-10.097,-2.3963e-05,-2.3667,-10.11,-2.4369e-05,545,546
0.099297,-9.4993,0.00011411,0.30058,-9.4999,0.00011138,1825,1826
-1.5117,-8.5003,4.5308e-05,-1.3163,-8.4998,4.4792e-05,2017,2018
-11.882,-9.9555,2.1021,-11.875,-9.9555,2.5003,4503,4894
-0.30096,-7.3018,-8.1736e-06,-0.27082,-7.2997,9.0878e-05,1022,2217
-8.8986,-9.6981,-2.3544e-05,-9.0823,-9.7002,2.6615e-06,635,1762
-11.104,-8.1009,2.95,-10.882,-8.0987,2.95,6286,6287
-10.896,-9.8773,-2.4991e-05,-11.084,-9.7195,-2.8307e-05,558,624
-10.098,-9.6979,-2.565e-05,-9.8964,-9.6986,-2.5602e-05,629,630
-6.4234,-8.0846,0.89851,-6.4551,-8.0869,1.3101,3389,3781
-3.4993,-15.306,2.95,-3.2907,-15.295,2.95,5257,5258
-4.8991,-3.5029,-3.0189e-05,-4.7018,-3.5012,-3.0189e-05,1353,1354
2.0996,-7.2806,8.0839e-05,2.2978,-7.2883,8.9586e-05,2229,2230
-10.696,-9.725,-2.6049e-05,-10.699,-9.6894,7.2947e-06,626,1754
-5.0979,-3.4943,-3.0211e-05,-4.8991,-3.5029,-3.0189e-05,1352,1353
-10.508,-9.1013,-3.0948e-05,-10.666,-9.0957,7.1228e-06,783,1884
-4.9005,-2.4872,-3.1141e-05,-4.8986,-2.3349,2.8563e-06,1463,2429
-9.0963,-9.6986,-2.3266e-05,-9.0823,-9.7002,2.6615e-06,634,1762
-3.702,-6.5041,2.95,-3.7018,-6.3053,2.95,6592,6608
-8.8928,-9.312,-2.7501e-05,-8.899,-9.0993,-3.067e-05,746,791
3.4282,-10.206,1.8986,3.4282,-10.206,2.1011,4285,4473
-1.3112,-9.1623,-2.5081e-05,-1.3024,-9.1005,4.3771e-05,812,1904
1.8979,-7.2832,7.1983e-05,2.0996,-7.2806,8.0839e-05,2228,2229
-4.7018,-3.5012,-3.0189e-05,-4.5044,-3.509,-3.0209e-05,1354,1355
-2.904,-7.5038,-9.1243e-06,-3.1039,-7.3039,-9.2476e-06,981,1008
-3.7021,-10.895,2.95,-3.7022,-10.694,2.95,5674,5690
-3.6979,-12.116,2.95,-3.7019,-11.898,2.95,5537,5561
-3.2838,-14.898,2.95,-3.5009,-14.503,2.95,5293,5325
-6.4557,-16.282,1.7004,-6.4557,-16.282,2.099,4041,4421
-0.23333,-11.762,0.81823,-0.17219,-11.777,0.83109,3272,3273
-1.7036,-11.099,2.95,-1.5033,-11.098,2.95,5656,5657
-6.4549,-5.4979,2.6963,-6.4549,-5.296,2.6936,5174,5176
-3.5017,-14.487,-1.3817e-05,-3.3797,-14.118,-2.0856e-05,112,145
-6.4399,-9.0985,2.3745,-6.4398,-8.9218,2.3745,4732,4733
1.5045,-7.7009,0.00010617,1.6957,-7.7004,0.00010216,2172,2173
-8.2974,-9.5003,2.95,-8.2931,-9.2992,2.95,5924,5985
-2.5019,-9.0998,4.6929e-05,-2.3032,-9.1002,4.6412e-05,1898,1899
-4.5043,-15.312,2.95,-4.3028,-15.306,2.95,5252,5253
-4.2982,-12.9,-1.8433e-05,-4.2989,-12.491,-2.7695e-05,236,278
-8.2702,-4.0759,-5.3574e-05,-8.1325,-3.8982,-5.3634e-05,1286,1305
-2.7038,-7.5037,-9.0899e-06,-2.5011,-7.6993,4.9192e-05,982,2152
-6.4541,-8.0873,1.8937,-6.4551,-8.0842,2.1,4347,4532
-10.882,-8.0987,2.95,-10.691,-7.981,2.95,6287,6329
-0.90338,-9.2987,-2.6647e-05,-0.71637,-9.299,4.1939e-05,771,1864
-7.1902,-1.8954,2.95,-7.1894,-1.6977,2.95,7094,7122
-3.574,-13.031,0.30417,-3.5739,-13.03,0.50131,2533,2749
-8.2702,-4.0759,-5.3574e-05,-8.5,-3.701,-5.6062e-05,1286,1323
-5.4988,-11.297,-1.8246e-05,-5.4989,-11.096,-1.8552e-05,407,432
-6.4557,-16.283,2.6977,-6.4508,-16.456,2.8879,4998,5211
-6.4547,-2.5009,1.0993,-6.4547,-2.5014,1.4998,3650,4023
-3.5725,-10.297,2.3002,-3.5725,-10.297,2.5002,4655,4858
-8.2858,-9.6983,-9.9462e-06,-7.897,-9.4994,-6.9134e-06,638,700
-5.6985,-5.5062,-3.7631e-06,-5.6986,-5.3065,-3.5032e-06,1180,1196
-5.8986,-11.499,-1.9643e-05,-5.8989,-11.098,-1.9783e-05,381,430
-11.374,-7.9468,1.5014,-11.579,-7.939,1.7005,3970,4159
-3.0992,-2.0336,2.8925,-3.5728,-1.7106,2.8866,7081,7138
-3.5753,-13.042,0.94608,-3.5739,-13.031,1.1006,3240,3499
-6.4551,-10.099,1.5,-6.4551,-10.099,1.9002,3909,4286
-7.2964,-9.2983,-8.0368e-06,-7.0958,-9.2973,-8.1355e-06,754,755
-6.4494,-5.9002,0.69235,-6.4469,-5.687,0.69797,3171,3174
-5.1063,-9.5134,2.9501,-4.9342,-9.581,2.95,5932,5933
-4.5005,-4.8958,-2.5296e-06,-4.3031,-4.906,-2.5299e-06,1234,1235
0.29634,-7.4993,2.95,0.49921,-7.4905,2.95,6444,6445
3.0972,-9.938,2.95,3.3153,-9.9544,2.95,5842,5843
-4.4998,-12.285,-2.7426e-05,-4.2996,-12.282,-2.718e-05,300,301
-5.6799,-10.308,-1.488e-05,-5.6962,-10.096,-1.1645e-05,520,535
-7.4929,-9.9565,2.4983,-7.5158,-9.9566,2.6418,4916,5110
-3.8993,-3.8992,-2.253e-05,-4.1003,-3.5038,-3.0212e-05,1319,1357
-5.7057,-15.634,2.95,-5.4969,-15.616,2.95,5228,5229
