v1_x,v1_y,v1_z,v2_x,v2_y,v2_z,v1_idx,v2_idx
0.67477,-7.4242,2.95,0.82112,-7.4255,2.95,12185,12186
-5.6231,-4.5757,-2.6358e-06,-5.4752,-4.5749,-2.6782e-06,2213,2214
-3.9734,-15.232,-1.1041e-05,-3.8237,-15.225,-1.0801e-05,89,90
-1.8687,-11.031,2.95,-1.7268,-11.024,2.95,10789,10790
-4.7252,-12.234,-2.7572e-05,-4.5755,-12.228,-2.7385e-05,549,550
-5.0357,-9.5449,2.95,-4.8841,-9.5908,2.95,11225,11226
-6.4557,-16.434,1.123,-6.4556,-16.268,1.4234,6641,7167
-11.914,-9.9433,2.9234,-11.766,-9.8832,2.95,10922,11017
3.5013,-10.004,2.1755,3.5022,-10.004,2.3254,8643,8921
-5.0197,-4.58,-1.9177e-06,-4.8742,-4.5845,-1.9084e-06,2217,2218
-5.3242,-3.5241,-3.0232e-05,-5.1747,-3.5221,-3.0228e-05,2389,2390
1.7303,-8.1754,0.00011015,1.4201,-7.8745,0.00011542,3724,3820
-6.9736,-8.4753,-3.7428e-06,-7.2751,-8.3254,-2.9632e-06,1596,1628
-2.1953,-10.302,-2.5349e-05,-2.0959,-10.34,-2.5809e-05,937,938
-3.976,-13.264,-1.6634e-05,-4.1246,-12.979,-1.8021e-05,373,413
2.4775,-8.319,0.00011347,2.5576,-8.3265,0.00012985,3669,3670
-5.0287,-4.7226,-2.265e-06,-4.8736,-4.7286,-2.265e-06,2197,2198
-9.3711,-8.0857,2.95,-9.2322,-8.0931,2.95,11925,11926
-8.7852,-8.1856,1.5497e-06,-8.6382,-8.1925,1.0787e-06,3689,3690
-3.5728,-10.12,1.275,-3.5726,-10.124,1.4328,6980,7242
-6.5062,-6.0745,2.5046,-6.5158,-5.9252,2.505,9296,9299
-1.576,-7.2756,-8.6455e-06,-1.436,-7.2746,4.7074e-05,1818,3957
-5.7745,-4.7237,-2.7218e-06,-5.6247,-4.7232,-2.7531e-06,2192,2193
-5.3254,-15.611,2.95,-5.1825,-15.607,2.95,10000,10001
-5.3193,-1.4595,-3.2187e-05,-5.1675,-1.457,-3.2187e-05,2798,2799
1.4245,-7.4077,2.9501,1.5873,-7.4155,2.9501,12190,12191
-3.6738,-4.7285,-6.7397e-06,-3.5564,-4.7226,-6.5982e-06,2206,2207
2.6295,-9.8508,2.95,2.7644,-9.8592,2.95,11104,11105
-4.1245,-5.0283,-2.7644e-06,-4.1246,-4.574,-1.7891e-06,2163,2223
